name,category,a_pubchemid,smiles,weight
acipimox,2nd,"{11344302,5310993,6989212,87933678}",CC1=CN=C(C=[N+]1[O-])C(=O)O,154.12344
acitretin,X,"{21217830,5284513,78358328,87670907,87770535,88661207}",CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,326.42934
aclidinium bromide,B3,"{11434515,11519741,11540306,25259443}",C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,484.6507
actinomycin d,D,{457193},CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,1255.4
adapalene,D,"{23148591,23651257,23651258,23672376,23672377,40466900,60164,66646585,66755369,66755533,67827583,68994028}",COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,412.52012
adefovir,B3,"{15077588,18436560,29413698,44154443,53302589,60172,68723607,68725649}",C1=NC2=C(C(=N1)N)N=CN2CCOCP(=O)(O)O,273.185742
adenosine,B2,"{20848998,21116993,21120502,21124425,21145071,22881923,23615235,23615308,23618419,23619258,52950385,60961,66603522,66663072,66674201,66795309,66894493,67263258,67322532,67336956,67708298,68466953,68491775,69128889,69643593,69866322,70505208,71270461,87468675}",C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,267.24132
adenosine,B2,"{54732806,57448763,57449701,57461927,57464726,57474123,66674202,66894494,67263260,68808455,70505212,71270464}",C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,267.24132
adrenaline,A,"{11588020,122037,181464,20839685,23616109,23616110,23616111,24906312,441411,57343930,57485843,5815,5816,6442611,6604103,66760933,67629401,67900677,68410182,68516091,6852374,69007449,6920143,69825390,70090111,70581940,70617830,71478437,71478438,71478439,71587364}",CNCC(C1=CC(=C(C=C1)O)O)O.C(C(C(=O)O)O)(C(=O)O)O,333.29126
afamelanotide,B1,{16197727},CCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CN=CN1)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NCC(=O)NC(CCCCN)C(=O)N5CCCC5C(=O)NC(C(C)C)C(=O)N)NC(=O)C(CO)NC(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(CO)NC(=O)C,1646.84524
afatinib,C,"{10184653,11204194,15606394,49805823,49805824,49805825,49805949,49805950,49805951,49805952,49805953,49806075,49806076,49806077,49806200,49806201,49806202,49856237,66546826,66547001,66547002,66547169,66547170,66547346,71543724,86710845}",CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,485.938403
agomelatine,B1,"{53373578,53373579,66574442,66925460,66980019,66980040,70922493,70922496,71477125,71529133,71607883,71816274,74766593,76285822,78357824,82148,89103912,90646228}",CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,243.30098
alacepril,2nd,{71992},CC(CSC(=O)C)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)O,406.5
alatrofloxacin,B3,"{3086677,5282517,71776189}",CC(C(=O)NC(C)C(=O)NC1C2C1CN(C2)C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F)N,558.50911
albendazole,D,"{2082,69465942,69615810,70242604,77685997}",CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,265.3314
alclometasone,2nd,{5311000},CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl,408.91566
alcuronium,B2,{5360723},C=CC[N+]12CCC34C1CC(C(=CCO)C2)C5=CN6C7C(=CN(C53)C8=CC=CC=C48)C9CC1C7(CC[N+]1(CC9=CCO)CC=C)C1=CC=CC=C16,666.8934
alectinib,D,"{49806720,53239799,72199714}",CCC1=C(C=C2C(=C1)C(=O)C3=C(C2(C)C)NC4=C3C=CC(=C4)C#N)N5CCC(CC5)N6CCOCC6,482.61656
alendronate,B3,"{10131134,11692148,13688298,15176794,15585620,16118274,16760285,17684448,178397,17952672,17974557,17974558,17974559,18519675,2088,21939103,22229714,22283454,22283455,23144932,23362602,23623631,23662313,23681107,23695223,23700496,23704618,23714027,24753384,25028440,25028441,28284237,4302721,441400,44400013,44567908,46783854,46870893,46870894,46870895,46870896,5276556,53396292,5459353,57520827,57520828,57520831,57520933,57520934,57520935,57520936,57520937,58187263,58652556,58788844,59069058,60167525,60736,6331783,7048550,86621007,87070608,87645744,87776547,87864923,87864924,87967915,88065948,88194302,88195053,88195186,89392394,89392396,9797431,9816926,9817396,9823248,9904007,9926542,9948699}",C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,249.096044
alfacalcidol,2nd,"{21158685,5282181}",CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,400.63706
alfatradiol,2nd,"{16213098,57451737,57454993,57455698,57469819,57514734,66706146,68570,70290425,87460828,89370672}",CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,272.38196
alfentanil,C,"{177950,25273601,51263,53313525,53340962,53341216,53341217,57506700,64761,64762,66618587,69674204}",CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,416.51718
alfuzosin,B2,"{19430893,19430895,19430896,2092,24848363,25137863,25166762,25166972,25166973,25166974,25166975,42613259,42613758,42613759,44462223,69171444,71764,75637210,86304078,86304177}",CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,389.44878
alimemazine,C,"{102719,21115542,226743,441236,45358050,51371419,5354697,5574,5702128,6419902,6451200,6508037,71772509,73707352,74441100}",CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C,298.44568
aliskiren,D,"{16741890,23625795,24917002,46843054,46869605,46869606,46869668,46869669,46869670,46869737,46869738,46869809,53343489,53353691,53353788,53353803,5493444,56656057,6918427,71495569,86643956,9939627}",CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,551.75832
alitretinoin,1st,"{449171,7364357,87816674,88778611}",CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,300.43512
allopurinol,B2,"{16051976,20185977,20185990,20849379,2094,23662349,56971650,69681387,70691471,73415747}",C1=C2C(=NC=NC2=O)NN1,136.11146
allylestrenol,1st,{235905},CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34,300.47818
almotriptan,2nd,"{123606,19417476,25272022,46929208,46929209,52950299,57414179,66624798,67184904,67337962,68576898,86623396}",CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,335.4643
alogliptin,2nd,"{11450633,16658243,26322458,44590827}",CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N,339.39164
alogliptin benzoate,B3,{16088021},CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N.C1=CC=C(C=C1)C(=O)O,461.5
alprazolam,C,"{178274,2118,69457581}",CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,308.76492
alprenolol,C,"{18328529,21127430,2119,43834352,46864194,4688620,50989970,657318,66368,66615141,69806105,69843980,70437036,70437483,77855835}",CC(C)NCC(COC1=CC=CC=C1CC=C)O,249.34862
alprostadil,1st,{5280723},CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,354.5
altretamine,D,{2123},CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,210.28
amantadine,B3,"{124108,13001379,13001380,13001381,16638817,19031614,20836086,21249869,2130,21683715,22467655,24196039,24196042,2723867,3776755,427195,427198,43833490,44430195,45049034,50920906,517422,5258183,53413268,53446143,59320,6364531,64150,6604579,66728776,66896546,67897365,67926678,68523261,69491912,85752998,86249404,86660913,88263531,90013510,9837823}",C1C2CC3CC1CC(C2)(C3)N,151.24868
ambenonium chloride,B2,"{2131,24763398,71587164,73896856,8288}",CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl,537.56468
ambrisentan,X,"{57412100,57520499,6918493,6956382}",CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C,378.42108
amethocaine,B2,{5411},CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C,264.36
amfenac,2nd,"{13960902,2136,21786118,23663941,23665728,66587144,68003772,68119759,68119886,68120388,68667642,70398139,70452197,70529767,70589952,70590206,70590207,70591270,70591271}",C1=CC=C(C=C1)C(=O)C2=C(C(=CC=C2)CC(=O)O)N,255.26862
amifostine,B3,"{148139,16048668,17912560,20185481,21151848,2141,23615559,2784749,29927142,3042176,83996,87719555,88357671}",C(CN)CNCCSP(=O)(O)O,214.222962
amikacin,D,"{16218899,20848878,25010735,37768,38351,44659004,5458175,66872570,67568780,68495896,68897468,69723725,86604149,86619108,87415953,90657305}",C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,585.60252
amiloride,C,"{16230,16231,20349316,23581809,23617642,24906311,25191031,45114201,51371351,657389,68540,6992023,71776207,86296914,87499304,88018516,90002359,90659822}",C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.Cl,266.08796
aminobenzoate potassium,2nd,{23663628},C1=CC(=CC=C1C(=O)[O-])N.[K+],175.23
aminocaproic acid,B3,"{10942830,12205345,18751507,20068488,23663648,23701063,2830194,446118,50944395,517030,5460263,564,56843451,59058338,71342357,71776219,86094447,86111288,87084327,87241612,87696502,87881534,87881859,88064088,88417857,88663855,89763669}",C(CCC(=O)O)CCN,131.17292
aminoglutethimide,D,"{16218846,21393902,2145,70176175,86473}",CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,232.27834
aminolevulinic acid,2nd,{137},C(CC(=O)O)C(=O)CN,131.13
aminolevulinic acid hcl,C,{123608},C(CC(=O)O)C(=O)CN.Cl,167.59
aminophylline,2nd,"{441189,9433}",CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,420.42636
amiodarone,C,"{2156,2157,24189191,29770,441325,657191,69287526,87844323,88923228}",CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I,646.31954
amisulpride,C,"{10046897,20566201,2159,3054713,69767874,74441489}",CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,369.47898
amitriptyline,C,"{11065,12291954,18415560,2160,3413420,43833356,53398683,657376,68425148,70023731,85437626,89543311}",CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,277.40332
amlodipine,C,"{10128268,10147780,10175242,10191393,10197440,10239487,10300874,11700155,17940024,17940027,17940028,20631043,2162,22228524,22490303,22610243,22610244,25119533,44480766,44481892,44481894,44482473,56961665,57414199,57414214,57414215,57414335,57414336,57414337,62888,6435922,6537149,67172504,68852499,69710580,69806691,69932727,74422130,75243969,76449896,76528487,76528488,77513178,77513840,77513915,77513916,77673413,85328662,86591092,86591094,88105902,9827983,9892976}",CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,408.8759
ammonium chloride,A,"{10154133,10176118,10953464,12298735,12820921,14029325,15014,15052,15300946,15344544,15347950,168060,17867414,18003879,18003931,18366525,18413378,18457929,18619024,18759463,18795410,19376275,19426451,197819,19804590,20329039,20458574,20565568,20836450,20976573,20976574,21124680,21200335,21225539,21225619,21282962,21396674,21584072,21584557,21584799,21867780,21873664,21881778,21892098,21905121,21911047,21931006,22015056,22040247,22138112,22141791,22254277,22266888,22283632,22320964,22341972,22345845,22626551,23203294,23341775,23618865,23681138,23702964,24644,25030220,25517,3015562,312,313,3298757,390892,443101,518533,53393742,57370964,57415798,57503373,57508402,57516054,59651644,6093197,6097086,6410751,643991,71350318,71374023,71374247,71444859,71611137,72347991,75088441,76552865,86345704,86345705,86743336,88393306,9082,91561}",[Cl-],35.453
amobarbital,C,"{13389383,16086653,16218910,2163,2164,23689390,23691654,67173219,70470534,88595230}",CCC1(C(=O)NC(=NC1=O)[O-])CCC(C)C,225.26428
amorolfine,B3,"{50986744,51371345,54259,54260,70292384}",CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2CC(OC(C2)C)C.Cl,353.96964
amosulalol,2nd,"{123707,2169,67108303,69806613,70494263}",CC1=C(C=C(C=C1)C(CNCCOC2=CC=CC=C2OC)O)S(=O)(=O)N,380.45856
amoxapine,2nd,"{2170,25271761,53339189,53339308,69464428,76015120}",C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,313.78144
amoxicillin,A,"{13290435,21116745,23623919,23663126,25137942,33613,40467057,46178668,62883,66721900,67247297,67480033,67897964,68494286,69239808,69554297,70404517,70638663,9886567}",CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,365.40416
amphotericin,B3,{5280965},CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,924.1
ampicillin,A,"{12918994,16051961,23565,23618702,23619878,23663979,23701796,56843323,6249,640430,66553151,66680909,67347054,69534757,69554537,69573226,7048611,70538964,71587057,86588305,88064963}",CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,349.40476
amprenavir,B3,"{44596196,65016,67047893,87497037}",CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,505.6269
amsacrine,D,"{13787826,148673,148674,2179,45265196,46856294,51371135,5231775,76964202,76964203,86740667,87965165,88124,90668809}",COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,393.45886
amylobarbitone,C,"{13389383,16086653,16218910,2163,2164,23689390,23691654,67173219,70470534,88595230}",CCC1(C(=O)NC(=NC1=O)[O-])CCC(C)C,225.26428
anagliptin,2nd,"{44513473,54764334,86305470}",CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N3CCCC3C#N,383.4475
anagrelide,B3,"{20089747,21327549,2182,42786,45114173,56963019,56963020,57515909,67038601,67079801,69297232}",C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31,256.08808
anakinra,B1,{139595263},CC(C)(C)C(=O)OCON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C=C)C(=O)O,509.6
anastrozole,C,"{11496765,11531183,11536990,11560172,11580739,11588025,11588452,11603927,11610659,11675473,11718528,2187,69607023,69805877,73671533,86661397,87075073,87812923}",CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,293.36626
anecortave,B1,{7074810},CC12CCC(=O)C=C1CCC3C2=CCC4(C3CCC4(C(=O)CO)O)C,344.4
anidulafungin,B3,{166548},CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC=C(C=C7)O)O)O)C(C)O)C)O)O)O,1140.23692
apalutamide,D,{24872560},CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F,477.4
apixaban,C,"{10182969,69444683,71245064,90014785}",COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,459.4971
apomorphine,B3,"{107882,20843067,25058166,3046132,44358405,51371357,53313142,6005,66725271,66733878,6852399,6931310,69503325,69529095,69842739,70634681,9410}",CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O,267.32238
apraclonidine,B3,"{21479682,2216,51371111,51763,57515911,6921705,86295008}",C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,245.1085
apremilast,B3,{11561674},CCOC1=C(C=CC(=C1)C(CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,460.50016
aprepitant,B1,{6918365},CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NC(=O)NN3)C4=CC=C(C=C4)F,534.426662
aprotinin,B1,{16130295},CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC2CSSCC3C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)N4CCCC4C(=O)N5CCCC5C(=O)NC(C(=O)NC(C(=O)NCC(=O)N6CCCC6C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N3)CC(=O)O)CCC(=O)O)C)CO)CCCCN)CC7=CC=CC=C7)CC(=O)N)CC(=O)N)CCCNC(=N)N)CCCCN)C)CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CCC(=O)N)C(C)O)CC8=CC=CC=C8)C(C)C)CC9=CC=C(C=C9)O)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCNC(=N)N)C)CCCCN)C(C)O)CC1=CC=C(C=C1)O)CCC(=O)O)CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)N)C(=O)NCC(=O)NCC(=O)NC(C)C(=O)O)C(C)O)CCCNC(=N)N)CCSC)CC(C)C)C)CCCCN)C)CC(=O)N)CC1=CC=C(C=C1)O)CC1=CC=CC=C1)CC1=CC=C(C=C1)O)CCCNC(=N)N)C(C)CC,6511.43928
arbekacin,2nd,"{175989,68682,71509492}",C1CC(C(OC1CN)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)NC(=O)C(CCN)O)N)N,552.61896
argatroban,2nd,"{86716460,92721,92722}",CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C.O,526.64942
argipressin,B2,{644077},C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,1084.2
aripiprazole,C,"{11408688,11504798,11526980,11577060,11613947,11693093,11706600,11720026,11720682,11721455,11856254,11856255,16101062,17818911,24759100,37888405,49846228,60795,67018343,68952212,69987949,70091436,86608236,86624945,86629978,87864215}",C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,448.38538
armodafinil,D,{9690109},C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,273.3501
arotinolol,2nd,"{155032,2239,69808333,74764352}",CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O,371.54114
arsenic trioxide,X,"{10092107,14888}",[O-2].[O-2].[O-2].[As+3].[As+3],197.8414
artesunate,2nd,"{6917864,76851774}",CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C,384.42082
articaine,B3,"{20727434,22076674,32169,32170,46856326,51371449,85506545}",CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC.Cl,320.83544
asenapine,C,"{25271881,3036780,49800075,56959427,56960601,6440510,66554298,71465217,71470820,71471436,71471642,71471643,71513644,72194370,72194372,72194373,72194640,72194641,86710865,86717611,86718243}",CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,285.76804
asparaginase,D,{5460875},C(C(C(=O)[O-])N)C(=O)N,131.11
aspirin,C,"{10035837,10176596,10219891,17785177,20164383,20289406,21115010,21484055,2244,22676935,22756334,22766265,23452462,23616581,23666729,23676700,23686234,23720073,3434975,57464276,6247,66584323,67463240,67463467,67532952,67592333,67732322,67744517,68124612,68135463,68135464,70184071,70185143,70372773,70376974,70567566,70580410,70618325,70618326,70635671,71329530,8591,86590972,9837359}",CC(=O)OC1=CC=CC=C1C(=O)O,180.15742
astromicin,2nd,"{23622607,5284517,72734319}",CC(C1CCC(C(O1)OC2C(C(C(C(C2O)N(C)C(=O)CN)OC)O)N)N)N,405.4897
asunaprevir,B1,{16076883},CC(C)(C)C(C(=O)N1CC(CC1C(=O)NC2(CC2C=C)C(=O)NS(=O)(=O)C3CC3)OC4=NC=C(C5=C4C=C(C=C5)Cl)OC)NC(=O)OC(C)(C)C,748.28584
atazanavir,B2,"{148192,158550,22940468,24916891,25058165,70944625,73058372,86601659,87164004,87259803}",CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,704.85548
atenolol,C,"{119274,22214108,22294509,2249,69569591,69806788,78422671,9818853}",CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,266.33608
atomoxetine,B3,"{11426336,24848271,44359559,45108252,54840,54841,66749741,68905129,69278062,69564127,86602621,86617379}",CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2.Cl,291.81568
atorvastatin,D,"{11227182,11556295,11650424,11651062,11678646,15378998,17589822,20112005,23623638,23665101,23695834,24849182,44243324,45790066,46902102,53252956,53253095,53492261,60822,60823,656846,66606523,66658574,66661194,66865642,67019418,67056345,68843572,69031745,69226991,70680954,71311905,75202522,75204289,75204290,75204291,75204409,75204410,75204411,75204412,86621612,86764717,86764718,9808782,9809749,9833468,9851656,9917057}",CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2],1155.341726
atovaquone,B2,"{11611093,51508723,67708573,74989}",C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,366.83746
atracurium,C,"{42597932,42598171,42598172,47319,6454829,6454899,71777638,75282675}",C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,929.14498
atropine,A,"{12310714,174174,18530349,21090485,21608699,23618471,23624042,23624044,51051762,57485330,57485381,60196398,656678,67709767,68618789,70234124,71463801,71586911,71587492,9862125}",CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,289.36942
atropine methonitrate,B2,{657381},C[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[N+](=O)([O-])[O-],366.4
auranofin,B3,"{10055332,16667669,6918453,70788951,87793872}",CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+],678.483891
aurothioglucose,B2,"{6104,6916934,73951887,87275767}",C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+],392.180109
avanafil,1st,"{86269865,86270052,9869929}",COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCCC4CO)Cl,483.95064
axitinib,D,"{21877502,6450551}",CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,386.46952
azacitidine,X,"{11702858,46180886,46180887,46180888,46180889,46180890,46180891,46180970,46181045,46181046,46181047,46181048,46181050,46181121,46181125,46181126,46181298,66886360,67397647,9444}",C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,244.20468
