index,성분명,임부금기(등급),비고,허가사항,,,,,,,,,,,,,,,
47,Atomoxetine,2등급,,임부에 대한 안전성 미확립. ,,,,,,,,,,,,,,,
48,Atorvastatin,1등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
49,Auranofin,2등급,,동물실험에서 기형발생 보고.,,,,,,,,,,,,,,,
50,Axitinib,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 최기형성, 배자독성, 태자독성, 배자손실, 기형(구개열), 골형성변형 보고.",,,,,,,,,,,,,,,
51,Azacitidine,2등급,,"최기형성 가능성.
동물실험에서 중추신경계기형(뇌탈출/뇌헤르니아), 사지기형(소지증, 내반족(club foot), 합지증, 핍지증) 그리고 기타(소하악증, 위벽파열, 부종 및 늑골기형) 등 보고.",,,,,,,,,,,,,,,
52,Azathioprine,2등급,,"동물실험에서 기형발생(골격기형, 내장이상) 보고.
프레드니손과 병용투여시 태아에 림프구감소증, IgG 및 IgM의 감소, CMV 감염, 흉선 음영의 감소/모체에 범혈구감소증, 중증의 면역결핍/기형아출생 보고.",,,,,,,,,,,,,,,
53,Azelastine,2등급,,동물실험에서 대량투여에 의해 기형발생 보고.,,,,,,,,,,,,,,,
54,Azosemide,2등급,,동물실험에서 생후 소실되는 일시적인 골격이상 보고.,,,,,,,,,,,,,,,
55,Balofloxacin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자의 유의한 골화지연, 사망률 증가, 체중감소, 분만일지연 경향 보고.",,,,,,,,,,,,,,,
56,Barnidipine,2등급,,"동물실험에서 태아독성 보고.
임신말기 투여시 임신기간 및 분만시간 연장 보고.",,,,,,,,,,,,,,,
57,Basiliximab,2등급,,-,,,,,,,,,,,,,,,
58,Bazedoxifene,1등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
59,Beclomethasone,2등급,,전신 코르티코스테로이드를 장기간 고용량 사용시 태아의 자궁내 성장지연 초래 가능성.,,,,,,,,,,,,,,,
60,Belimumab,2등급,,"임부에 대한 안전성 미확립.
태반 통과 보고. ",,,,,,,,,,,,,,,
61,Belotecan,2등급,,"동물실험에서 배태자독성 및 기형(안구, 뇌, 두개골, 척추부위) 보고.",,,,,,,,,,,,,,,
62,Benazepril,2등급,,"ACE저해제 투여시 신생아의 기형 및 사망 보고. 
임신 1기에 투여시 선천적장애 위험 증가 가능성, 임신 2기 및 3기에 투여시 태아 및 신생아의 저혈압, 신생아 두개형성부전, 무뇨증, 신부전 및 사망 가능성, 태아 신기능 손상으로 인한 양수과소증(태아 사지구축과 구개안면기형, 폐발육형성부전과 관련 있음) 보고.",,,,,,,,,,,,,,,
63,Bendamustine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 최기형성 및 유전독성 보고.",,,,,,,,,,,,,,,
64,Benexate,2등급,,동물실험에서 고용량 투여시 기형발생 보고.,,,,,,,,,,,,,,,
65,Benidipine,2등급,,"동물실험에서 태아독성 보고.
임신말기에 투여시 임신기간 및 분만시간 연장 보고.",,,,,,,,,,,,,,,
66,Benserazide,2등급,,동물실험에서 골격기형 보고.,,,,,,,,,,,,,,,
67,Benzbromarone,2등급,,동물실험에서 기형발생 작용 보고.,,,,,,,,,,,,,,,
68,Benztropine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
69,Benzydamine ,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
70,Bepotastine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
71,Beraprost,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
72,Betamethasone,2등급,,"동물실험에서 기형발생 작용 보고.
태아의 성장 지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에도 영향 끼칠 수 있음.
신생아에서 부신부전증 일으킬 수 있음.",,,,,,,,,,,,,,,
73,Betaxolol,2등급,,"신생아에서 심폐합병증의 위험성 증가 및 서맥, 호흡부전, 저혈당증 보고. 
베타차단제는 태반관류를 감소시켜 자궁내 태아 사망, 미숙 및 조산 초래 가능성.
동물실험에서 배태자 사망 증가 보고.",,,,,,,,,,,,,,,
74,Bethanechol,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
75,Bevacizumab,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 기형을 포함한 생식독성, 난소부전 사례 발생 보고.",,,,,,,,,,,,,,,
76,Bevantolol,2등급,,동물실험에서 고용량 투여시 체중감소 보고.,,,,,,,,,,,,,,,
77,Bezafibrate,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
78,Bicalutamide,1등급,,-,,,,,,,,,,,,,,,
79,Bisoprolol,"2등급
(단, 강심제로 사용시 제외)",,"베타차단제는 태반관류를 감소시켜 성장저해, 자궁내 사망 및 유산, 조기분만 초래 가능성.
태자 및 신생아에서 저혈당, 서맥 가능성 및 사망 증가, 저체중 보고.",,,,,,,,,,,,,,,
80,Bleomycin,2등급,연고제 포함,"(주사)
동물실험에서 기형발생 보고.",,,,,,,,,,,,,,,
81,Blonanserin,2등급,,"임부에 대한 안전성 미확립
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상의 위험 가능성.",,,,,,,,,,,,,,,
82,Bortezomib,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자손실, 생존태자 감소 및 생존태자의 체중감소 보고.",,,,,,,,,,,,,,,
83,Bosentan,1등급,,임신중 투여시 선천성결함 야기 가능성.,,,,,,,,,,,,,,,
84,Bromazepam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
85,Bromfenac,2등급,점안제 포함,"임부에 대한 안전성 미확립.
임신 3기에 프로스타글란딘 합성억제는 태아의 심폐독성(동맥관의 조기봉합 및 폐동맥고혈압), 양수 부족증 및 신부전에 이를 수 있는 신기능 장애 유발 가능성. 임신 말기에 때때로 산모와 태아의 출혈시간 연장.",,,,,,,,,,,,,,,
86,Bromperidol,2등급,,"동물실험에서 태자독성(태자흡수 증가 등) 보고. 임신말기나 분만중 투여시 신생아에서 기면, 진전, 과흥분성 가능성.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상 보고.",,,,,,,,,,,,,,,
87,Brompheniramine,2등급,,-,,,,,,,,,,,,,,,
88,Bucillamine,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
89,Bumetanide,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
90,Buprenorphine,2등급,패취제 포함,"(주사)
동물실험에서 난산, 서투른 보육행동, 출생자의 생존률 저하 및 체중증가억제 보고.
(패취)
임부에 대한 안전성 미확립.
고용량의 임상시험에서 설하 투여시 신생아의 금단증후군, 자궁내 성장저해 및 소두증 보고.",,,,,,,,,,,,,,,
91,Buserelin,"1등급
","이식제, 분무액제 포함",임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
92,Busulfan,2등급,,"(주사)
동물실험에서 최기형성(근골격계, 체중, 크기) 및 태아독성(전신부종, 구개열, 척추이상, 늑골이상 및 심장혈관의 중증 이상) 보고.",,,,,,,,,,,,,,,
93,Butorphanol,2등급,,"임부에 대한 안전성 미확립.
분만중 투여시 태아의 호흡곤란 또는 무호흡 가능성.",,,,,,,,,,,,,,,
94,Cabazitaxel,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
95,Cadralazine,2등급,,동물실험에서 최기형 작용(구개열 등) 보고.,,,,,,,,,,,,,,,
96,Calcitriol,2등급,,"과량투여시 태아독성의 위험(육체적·정신적 발달지체, 대동맥 협착).",,,,,,,,,,,,,,,
97,Camostat,2등급,,동물실험에서 과량투여시 태자 체중억제 보고.,,,,,,,,,,,,,,,
98,Canagliflozin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 사람의 임신 2기와 3기에 해당하는 신장 발달 독성(신우 및 세뇨관 확장) 보고.",,,,,,,,,,,,,,,
99,Candesartan,2등급,,"임신 2~3기중 투여시 태아 및 신생아 손상(저혈압, 신기능부전, 핍뇨 그리고/또는 무뇨, 양수과소증, 두개골발육부전, 자궁내 성장지체), 폐부전, 안면비정상, 사지연축 및 사망 가능성.",,,,,,,,,,,,,,,
100,Capecitabine,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 태자치사 및 최기형성 보고.",,,,,,,,,,,,,,,
101,Captopril,2등급,,"임신 2기 및 3기에 ACE 저해제 복용시 태아 및 신생아에 저혈압, 신생아 두개형성부전, 무뇨, 고칼륨혈증, 신부전 및 사망 가능성.
태아의 신기능감소에 의한 양수과소증으로 태아사지경축, 두개안면변형, 폐발육형성부전 가능성.",,,,,,,,,,,,,,,
102,Carbamazepine,2등급,,"동물실험에서 과량 투여시 태아 사망률 증가, 결함발생 등 보고. 
간질여성의 자식에 이분척추 및 기타 선천성기형(예, 두개안면결함, 심혈관기형, 요도하열, 각종 신체기관의 이상) 및 성장장애와의 관련 보고.",,,,,,,,,,,,,,,
103,Carbidopa,2등급,장내겔제 포함,"동물실험에서 내장, 골격기형 발생 보고.",,,,,,,,,,,,,,,
104,Carbimazole,2등급,,"태반 통과함. 임신 초기(14주) 및 고용량 투여 시 선천성 피부 무형성, 두개안면 기형(후비공 폐쇄; 안면기형), 배꼽탈장, 식도폐쇄증, 배꼽창자간막관 기형, 심실사이막결손이 보고됨.
임신 가능성이 있는 여성은 치료기간 동안 효과적으로 피임해야 함.",,,,,,,,,,,,,,,
105,Carboplatin,2등급,,"임부에 대한 안전성 미확립.
몇몇 실험체계에서 태아독성과 변이원성 보고
동물실험에서 태자치사 및 최기형성 보고.",,,,,,,,,,,,,,,
106,Carmofur,2등급,,동물실험에서 기형유발 보고.,,,,,,,,,,,,,,,
107,Carmustine,2등급,이식정제 포함,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
108,Carteolol,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
109,Carvedilol,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
110,Celecoxib,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성(기형발생 포함) 보고.
임신말기에 투여시 자궁무력증, 태아 동맥관조기폐쇄 가능성.",,,,,,,,,,,,,,,
111,Celiprolol,2등급,,"임부에 대한 안전성 미확립.
신생아에서 심부전, 급성폐부종 가능성 및 서맥, 호흡곤란, 저혈당 보고.",,,,,,,,,,,,,,,
112,Cetrorelix,1등급,,"동물실험에서 착상수 감소, 착상전후 소실 증가, 고용량 투여시 완전한 불임 나타냄.",,,,,,,,,,,,,,,
113,Cetuximab,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 용량 의존적으로 유산 발생율 증가 관찰.",,,,,,,,,,,,,,,
114,Chlorambucil,2등급,,기형유발 가능성.,,,,,,,,,,,,,,,
115,Chlordiazepoxide,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
116,Chlormadinone,1등급,,-,,,,,,,,,,,,,,,
117,Chloroquine,"2등급
(말라리아 치료시 제외)",,고용량 투여시 태아 이상(안구 혹은 귀의 와우손상 등) 유발 가능성 보고.,,,,,,,,,,,,,,,
118,Chlorpromazine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자독성(태자사망 등) 보고.
임신 중 투여시 신생아에서 진전, 추체외로증상 등 보고. 
임신말기나 분만중 투여시 기면, 진전, 과흥분성 가능성.
임신 3기에 투여시 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
119,Chlorprothixene,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자독성(태자사망 등) 보고.
임신말기나 분만중 향정신병약 투여시 신생아에서 기면, 진전, 과흥분성 보고.",,,,,,,,,,,,,,,
120,Chlorthalidone,2등급,,"저혈량증이나 혈액점도 증가, 태반환류 감소 가능성. 티아지드계 이뇨제의 사용은 태아 골수억제와 혈소판감소증 및 태아·신생아 황달과의 관련성 보고.",,,,,,,,,,,,,,,
121,Cilazapril,2등급,,"임신 2기 및 3기에 ACE 저해제 복용시 태아 및 신생아에 저혈압, 신생아 두개형성부전, 무뇨, 고칼륨혈증, 신부전 및 사망 가능성.
태아의 신기능감소에 의한 양수과소증으로 태아사지경축, 두개안면변형 및 폐발육형성부전 가능성.",,,,,,,,,,,,,,,
122,Cilnidipine,2등급,,"실험동물에서 태아독성, 고용량에서 골화지연 보고. 
임신중기 투여시 임신기간 연장 보고.
임신말기 투여시 분만시간 연장 보고.",,,,,,,,,,,,,,,
123,Cilostazol,2등급,,"동물실험에서 이상태자의 증가 및 출생시의 저체중, 사망 증가 보고.",,,,,,,,,,,,,,,
124,Cinacalcet,2등급,,"임부에 대한 안전성 미확립. 
임신한 랫드에게 25 mg/kg/day(인체 노출량(하루 180 mg)의 3배 용량)로 경구 투여시, 모체에서 저칼슘혈증(분만시 사망 및 출생후 초기차산자 사망), 체중증가 억제, 태아 중량감소(차산자 체중 증가량 감소), 섭이량 감소 및 태반통과 보고.",,,,,,,,,,,,,,,
125,Cinnoxicam,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
126,Ciprofibrate,2등급,,동물실험에서 고용량 투여시 기형발생 가능성.,,,,,,,,,,,,,,,
127,Ciprofloxacin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 미성숙 개체에서 관절연골손상 유발 가능성.",,,,,,,,,,,,,,,
128,Cisplatin,2등급,,"동물실험에서 기형유발 작용, 태자치사율 증가 보고.",,,,,,,,,,,,,,,
129,Cladribine,2등급,,동물실험에서 기형유발 보고.,,,,,,,,,,,,,,,
130,Clinofibrate,2등급,,동물실험에서 태자 및 모유중으로의 이행이 보고.,,,,,,,,,,,,,,,
131,Clobazam,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
132,Clofarabine,2등급,,"임부에 대한 안전성 미확립.
동물시험에서 최기형성을 포함한 생식독성 보고.",,,,,,,,,,,,,,,
133,Clofibrate,2등급,,태아에 이행이 보고됨.,,,,,,,,,,,,,,,
134,Clomiphene ,1등급,,"동물실험에서 태자독성, 기형발생 보고.",,,,,,,,,,,,,,,
135,Clomipramine,2등급,,동물실험에서 최대 임상노출보다는 낮은 정도의 전신노출수준(AUC)에서 생식독성 나타냄. 임신말기에 복용시 신생아 중단증후군 발생 가능성.,,,,,,,,,,,,,,,
136,Clonazepam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
137,Clonidine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
138,Clonixin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자독성 보고.",,,,,,,,,,,,,,,
139,Clorazepate,2등급,,"임신 초기에 투여시 선천성기형 보고.
임신 후기에 벤조디아제핀연용시 신생아 포유곤란, 근긴장저하, 졸음, 황달의 증강 보고.
분만전 연용시 신생아 금단증상(신경과민, 진전, 과긴장) 보고.",,,,,,,,,,,,,,,
140,Clostridium botulinum toxin type B,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
141,Clotiazepam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
142,Clozapine,2등급,,"임신중 투여에 대한 안전성 미확립.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
143,Colchicine,2등급,,동물실험에서 기형발생 작용 및 사람에서 태아 염색체 손상의 위험.,,,,,,,,,,,,,,,
144,Conjugated Estrogen ,1등급,크림제 포함,"임부에 대한 안전성 미확립.
에스트로겐대체요법에 의해 태아에서 생식기관결함, 선천적 심장결함, 수족감소결함 가능성.
훗날 여성에서 질선증, 질 및 자궁경부 편평세포형성장애/암의 위험 증가.",,,,,,,,,,,,,,,
145,"Conjugated Estrogen
+Medroxyprogesterone",1등급,,"임부에 대한 안전성 미확립.
에스트로겐대체요법에 의해 태아에서 생식기관 결함, 선천적 심장결함, 수족감소결함 가능성.
훗날 여성에서 질선증, 질 및 자궁경부 편평세포형성장애/암의 위험 증가.",,,,,,,,,,,,,,,
146,Crizotinib,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 배태자 독성(착상 후 손실, 태자 체중감소), 고용량 투여시 난포의 단일세포 괴사 등 보고.",,,,,,,,,,,,,,,
147,Cyclofenil,1등급,,유사화합물의 동물실험에서 태자독성 및 기형유발 보고.,,,,,,,,,,,,,,,
148,Cyclophosphamide,2등급,,동물실험에서 유전독성 및 태아손상 유발 가능성.,,,,,,,,,,,,,,,
149,Cyclosporin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.
37주 미만의 미숙아 출산 위험성 높음.",,,,,,,,,,,,,,,
150,Cyproheptadine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
151,Cyproterone,1등급,,-,,,,,,,,,,,,,,,
152,Cytarabine,2등급,,동물실험에서 기형발생 작용 보고.,,,,,,,,,,,,,,,
153,Dabigatran,2등급,,"임부에 대한 안전성 미확립.
모체독성용량에서 태자의 체중감소, 태자변이 증가, 배태자 생존력 감소 보고.",,,,,,,,,,,,,,,
154,Dacarbazine,2등급,,동물실험에서 기형유발 보고.,,,,,,,,,,,,,,,
155,Dactinomycin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 기형, 태자독성 보고.",,,,,,,,,,,,,,,
156,Danazol,1등급,,"여성 태아의 남성화 가능성(음핵비대, 음순융합, 비뇨생식동결손, 질폐쇄) 보고.",,,,,,,,,,,,,,,
157,Dapagliflozin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 사람의 임신 2기와 3기에 해당하는 신장 발달 독성(신우 및 세뇨관 확장) 보고.",,,,,,,,,,,,,,,
158,Dasatinib,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 배태자 독성(근골격기형과 골형성 감소, 부종, 소간증 등) 보고.",,,,,,,,,,,,,,,
159,Daunorubicin,2등급,,-,,,,,,,,,,,,,,,
160,Decitabine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 발육독성, 태자기형 유발, 태자 생존감소 및 태자 체중감소 보고.",,,,,,,,,,,,,,,
161,Deferiprone,2등급,,동물실험에서 생식독성 위험 보고. 최기형 및 염색체 이상의 우려가 있음.,,,,,,,,,,,,,,,
162,Deflazacort,2등급,,"동물실험에서 기형발생 작용 보고.
태아의 성장지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에 영향 가능성. 신생아에 부신부전증 유발 가능성.",,,,,,,,,,,,,,,
