Drug Name,Category,Classification Level 1,Classification Level 2,Classification Level 3,,,,,,,,,,,,,,
asenapine,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
asfotase alfa (rch),C,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
asparaginase,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
aspirin,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),,,,,,,,,,,,,,,
aspirin / dipyridamole,C,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
asunaprevir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
atazanavir,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
atazanavir / cobicistat,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
atenolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
atezolizumab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
atomoxetine,B3,Central Nervous System,CNS stimulants,,,,,,,,,,,,,,,
atorvastatin,D,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
atorvastatin / ezetimibe,D,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
atovaquone,B2,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
atracurium,C,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
atropine,A,Alimentary System,Antispasmodics,,,,,,,,,,,,,,,
atropine,A,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
atropine methonitrate,B2,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
auranofin,B3,Musculoskeletal System,Antirheumatoid agents,,,,,,,,,,,,,,,
aurothioglucose,B2,Musculoskeletal System,Antirheumatoid agents,,,,,,,,,,,,,,,
avelumab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
axitinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
azacitidine,X,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
azatadine,B2,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
azathioprine,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
azelaic acid,B1,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
azelastine,B3,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
azelastine hydrochloride / fluticasone propionate,B3,Allergy and Immune System,,,,,,,,,,,,,,,,
azithromycin,B1,Antimicrobials,Antibiotics,Macrolide antibiotics,,,,,,,,,,,,,,
azlocillin,B3,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
aztreonam,B1,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
baclofen,B3,Musculoskeletal System,Muscle relaxants,,,,,,,,,,,,,,,
baloxavir,B3,Antimicrobials,Antiviral,,,,,,,,,,,,,,,
balsalazide,C,Alimentary System,Antidiarrhoeals,,,,,,,,,,,,,,,
baricitinib,D,Musculoskeletal System,Antirheumatoid agents,,,,,,,,,,,,,,,
basiliximab,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
BCG (Mycobacterium bovis),B2,Vaccines,,,,,,,,,,,,,,,,
becaplermin,B2,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
beclometasone,B3,Endocrine System,Corticosteroids,Inhalation/intranasal,,,,,,,,,,,,,,
beclomethasone,B3,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
belatacept,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
belimumab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
belladonna,B2,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
bendamustine hydrochloride,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
bendrofluazide,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
benralizumab,B1,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
benserazide,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
benserazide / levodopa,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
benzathine penicillin,A,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
benzatropine,B2,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
benzhexol (trihexyphenidyl),B1,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
benzoyl peroxide / adapalene,D,,,,,,,,,,,,,,,,,
benzoyl peroxide / clindamycin,A,Antimicrobials,,,,,,,,,,,,,,,,
benzydamine (topical oropharyngeal),B2,Mouth Preparations,,,,,,,,,,,,,,,,
benzyl benzoate,B2,Drugs used in Dermatology,Topical antiparasitics,,,,,,,,,,,,,,,
benzylpenicillin,A,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
betahistine,B2,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
betamethasone acetate / betamethasone,C,Endocrine System,Corticosteroids,,,,,,,,,,,,,,,
betamethasone dipropionate,B3,Endocrine System,Corticosteroids,,,,,,,,,,,,,,,
betamethasone dipropionate / calcipotriol,B3,Drugs Used in Dermatology,Topical,,,,,,,,,,,,,,,
betamethasone valerate,B3,Endocrine System,Corticosteroids,,,,,,,,,,,,,,,
betaxolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
betaxolol (ophthalmic),C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
bethanechol,B2,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
bethanechol,B2,Genitourinary System,Bladder function disorders,,,,,,,,,,,,,,,
bevacizumab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
bevantolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
bezlotoxumab,B2,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
bicalutamide,D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
bictegravir/emtricitabine/tenofovir alafenamide,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
bifonazole,B3,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
bimatoprost,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
bimatoprost / timolol,C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
binimetinib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
bioallethrin,B2,Drugs used in Dermatology,Topical antiparasitics,,,,,,,,,,,,,,,
biperiden,B2,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
bisacodyl,A,Alimentary System,Laxatives,,,,,,,,,,,,,,,
bismuth subcitrate,B2,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
bisoprolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
bivalirudin,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
bleomycin,D,Antineoplastic Agents,Antibiotic cytotoxic agents,,,,,,,,,,,,,,,
blinatumomab (rch),C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
boceprevir,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
boceprevir with ribavirin and peginterferon alfa,X,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
bortezomib,C,Antineoplastic Agents,,,,,,,,,,,,,,,,
bosentan,X,Cardiovascular System,Endothelin receptor antagonist,,,,,,,,,,,,,,,
botulinum toxin type A,B3,Musculoskeletal System,Muscle relaxants,,,,,,,,,,,,,,,
brentuximab vedotin,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
bretylium tosilate,C,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
brexpiprazole,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
brigatinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
brimonidine / brinzolamide,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
brimonidine / timolol,C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
brimonidine tartrate,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
brinzolamide,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
brinzolamide / timolol,C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
brivaracetam,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
brolucizumab,D,Ophthalmic Drugs,,,,,,,,,,,,,,,,
bromazepam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
bromhexine,A,Respiratory System,Expectorants and mucolytics,,,,,,,,,,,,,,,
bromocriptine (injection),B2,Endocrine System,Pituitary inhibitors,,,,,,,,,,,,,,,
bromocriptine (oral),A,Endocrine System,Pituitary inhibitors,,,,,,,,,,,,,,,
brompheniramine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
budesonide,A,Endocrine System,Corticosteroids,Inhalation/intranasal,,,,,,,,,,,,,,
budesonide,A,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
budesonide (systemic),B3,Alimentary System,Antidiarrhoeals,,,,,,,,,,,,,,,
bumetanide,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
bupivacaine,A,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
bupivacaine / fentanyl,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal and anti-inflammatory agents),,,,,,,,,,,,,,,
buprenorphine,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
bupropion,B2,Agents used in dependency states,,,,,,,,,,,,,,,,
buspirone,B1,Central Nervous System,Antianxiety agents,,,,,,,,,,,,,,,
busulfan,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
butoconazole,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
cabazitaxel,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
cabergoline,B1,Endocrine System,Pituitary inhibitors,,,,,,,,,,,,,,,
cabozantinib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
caffeine,A,Central Nervous System,CNS stimulants,,,,,,,,,,,,,,,
calcipotriol,B1,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
calcitonin,B2,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
calcitonin salmon,B2,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
calcitriol,B3,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
calcium carbimide,A,Agents used in dependency states,,,,,,,,,,,,,,,,
canagliflozin,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
canakinumab,B3,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
candesartan cilexetil,D,Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors,,,,,,,,,,,,,,
cannabidiol,B2,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
capecitabine,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
caplacizumab,B1,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
captopril,D,Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,
carbachol,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
carbamazepine,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
carbetocin,C,Genitourinary System,Agents acting on the uterus,,,,,,,,,,,,,,,
carbidopa,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
carbidopa / entacapone / levodopa,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
carbidopa / levodopa,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
carbimazole,C,Endocrine System,Antithyroid agents,,,,,,,,,,,,,,,
carboplatin,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
carboprost,D,Genitourinary System,Agents acting on the uterus,,,,,,,,,,,,,,,
carfilzomib,C,Antineoplastic Agents,,,,,,,,,,,,,,,,
carglumic acid,B1,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
cariprazine,D,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
carmustine,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
carvedilol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
cascara,A,Alimentary System,Laxatives,,,,,,,,,,,,,,,
caspofungin,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
cefaclor,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefalexin,A,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefalotin,A,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefamandole,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefazolin,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefepime,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefodizime,B2,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefotaxime,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefotetan,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefoxitin,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefpirome,B2,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefpodoxime,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
ceftaroline fosamil,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
ceftazidime,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
ceftolozane/tazobactam,B1,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
ceftriaxone,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
cefuroxime,B1,Antimicrobials,Antibiotics,Cephalosporins,,,,,,,,,,,,,,
celecoxib,B3,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
cemiplimab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
ceritinib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
cerivastatin,D,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
cerliponase alfa,B2,Central Nervous System,,,,,,,,,,,,,,,,
certolizumab,C,Allergy and immune system,Immunomodifiers,,,,,,,,,,,,,,,
cetirizine,B2,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
cetrorelix,D,Endocrine System,Pituitary inhibitors,,,,,,,,,,,,,,,
cetuximab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
cetylpyridinium,A,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
chenodeoxycholic acid,B3,Alimentary System,Cholelitholytics,,,,,,,,,,,,,,,
chloral hydrate,A,Central Nervous System,Hypnotics and sedatives,,,,,,,,,,,,,,,
chlorambucil,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
chloramphenicol,A,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
chloramphenicol (ophthalmic),A,Ophthalmic Drugs,,,,,,,,,,,,,,,,
chlorcyclizine,B3,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
chlordiazepoxide,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
chlorhexidine,A,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
chlormethiazole,A,Central Nervous System,Hypnotics and sedatives,,,,,,,,,,,,,,,
chloroquine (prophylaxis),A,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
chloroquine (treatment),D,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
chlorothiazide,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
chlorphenamine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
chlorpromazine,D,Central Nervous System,Antipsychotic drugs,Phenothiazines,,,,,,,,,,,,,,
chlorpropamide,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
chlorquinaldol,A,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",,,,,,,,,,,,,,,
chlortalidone,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
cholera vaccine (killed),B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
cholic acid,B2,Alimentary System,Cholelitholytics,,,,,,,,,,,,,,,
choriogonadotropin alfa (rch),B3,Endocrine System,Ovulation inducers,Gonadotrophins,,,,,,,,,,,,,,
