name,category,a_pubchemid,smiles,weight
zinc acetate,0,{11192},CC(=O)[O-].CC(=O)[O-].[Zn+2],183.5
urofollitrophin,0,{75409771},CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)C(C)O,980.2
boceprevir,0,{10324367},CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,519.6767
butorphanol,0,"{24840146,40467005,5361092,5462346,5464090,67514659,67515408}",C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,327.46046
cetrorelix,1,"{25074886,25074887,25078429,87183657,87246797,87949193,88227671}",CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CCCNC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C.C(=O)(C(F)(F)F)O,1545.06133
cortisone,0,"{222786,66577700,66802228,67204498,69817017,70249154,87387217}",CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,360.44402
sodium tetradecyl sulfate,0,"{23616627,23665772,3711576,8771,88392658}",CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O,294.4506
tetrabenazine,0,"{18913474,20056700,6018,73131272,76023684,87225533}",CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC,317.42258
pyrimethamine,0,"{150615,19840056,22295183,23278268,248396,44123482,4993,6365291,71412723,86096358,86295013,90479558}",CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,248.71142
fotemustine,1,{104799},CCOP(=O)(C(C)NC(=O)N(CCCl)N=O)OCC,315.691022
varenicline,0,"{170361,170362,44400305,44519370,45263226,46783232,50878597,59228858,73014266,74941158,74949136,75164726,75164727,75164728,75164750,75164751,75306145,86637354,86637773,86637774,9818854,9887415,9906942}",C1C2CNCC1C3=CC4=NC=CN=C4C=C23,211.26242
pentetic acid,0,{3053},C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,393.35
carbachol,0,"{10313207,12358896,18415685,200564,206532,23615619,23615620,2551,521353,53627818,5831,87305162,87313311,87330427,87384030,87450534,87574728,88415656}",C[N+](C)(C)CCOC(=O)N,147.1955
apomorphine,0,"{107882,20843067,25058166,3046132,44358405,51371357,53313142,6005,66725271,66733878,6852399,6931310,69503325,69529095,69842739,70634681,9410}",CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O,267.32238
acemetacin,0,"{1981,25273596,69428135,70470286}",CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,415.82372
bromperidol,0,"{2448,25273595}",C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,420.315223
baclofen,0,"{11379687,19876930,21681576,2284,51013,53314268,6602720,72682945,78422631}",C1=CC(=CC=C1C(CC(=O)O)CN)Cl,213.66078
cyclobenzaprine,0,"{22576,23615653,24849121,2895,5351883,57515965,67718564,69045958,69045960,69112435,69259794,70154540}",CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,275.38744
cobimetinib fumarate,1,"{16222096,67051899,71301366,71491931,71772577}",C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,531.31002
proguanil,0,"{11971705,11971706,20843925,24848346,45114133,6178111,71301233,87403713,9561832,9570076}",CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl,253.73124
cisplatin,1,"{11279053,11279758,19418321,19772490,20405097,20438927,20723758,21267585,21909158,23644016,24191118,25200154,2767,2768,441203,450696,49874478,58743151,58743170,72408302,72408318,73653370,73678998,73680395,73701454,73853022}",[NH2-].[NH2-].Cl[Pt+2]Cl,298.03516
olodaterol,0,"{11504294,11504295,11526233,11691887,11711522,45259012}",CC(C)(CC1=CC=C(C=C1)OC)NCC(C2=CC(=CC3=C2OCC(=O)N3)O)O.C(=CC(=O)O)C(=O)O,502.5137
amphotericin,0,{5280965},CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,924.1
ampicillin,0,"{12918994,16051961,23565,23618702,23619878,23663979,23701796,56843323,6249,640430,66553151,66680909,67347054,69534757,69554537,69573226,7048611,70538964,71587057,86588305,88064963}",CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,349.40476
ticagrelor,0,"{56963102,56963103,56963104,72944530,72944531,72944532,72944533,72944640,72944642,77107968,9871419}",CCCSC1=NC2=C(C(=N1)NC3CC3C4=CC(=C(C=C4)F)F)N=NN2C5CC(C(C5O)O)OCCO,522.568026
alectinib,1,"{49806720,53239799,72199714}",CCC1=C(C=C2C(=C1)C(=O)C3=C(C2(C)C)NC4=C3C=CC(=C4)C#N)N5CCC(CC5)N6CCOCC6,482.61656
desirudin,0,{16129703},CCC(C)C1C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC2C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)C(C)C)CC(=O)N)CO)CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C3CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)N3)CC(C)C)CC(=O)N)CCC(=O)N)CO)CCC(=O)O)C(C)O)NC(=O)C(CC(=O)O)NC(=O)C(C(C)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)N)C(=O)N1)CCCCN)CC(=O)N)CCC(=O)N)C(=O)NC(C(C)C)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NCC(=O)NC(C(C)O)C(=O)N5CCCC5C(=O)NC(CCCCN)C(=O)N6CCCC6C(=O)NC(CCC(=O)N)C(=O)NC(CO)C(=O)NC(CC7=CN=CN7)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CC8=CC=CC=C8)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)CC)C(=O)N9CCCC9C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)O)CCC(=O)N)CC(=O)N)CCCCN)CCC(=O)O)CC(=O)O)CO)CC(C)C,6963.4245
fluticasone propionate,0,{444036},CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,500.57085
betamethasone valerate,0,{16533},CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO,476.6
gadobenate,0,"{105124,18177388,56840960}",[H+].[H+].C1=CC=C(C=C1)COCC(C(=O)[O-])N(CCN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],667.72122
losartan,1,"{11476710,11751549,18318845,18318846,18518524,21989751,23663390,23670019,23683500,24848371,24895680,24895681,25749227,3961,44387612,49832232,49832233,49834719,49834720,49834721,53396294,67459633,68522728,68617789,68908147,69163106,69163274,69864885,75299419,87530651,9847164,9891565}",CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,422.91062
metronidazole,0,"{11615582,18008690,18936946,20273830,20273833,20346821,21115892,21115893,21312895,21312896,21312897,21312899,21312901,21312902,21312903,21491666,24906331,4173,46913750,57339249,66766512,67805882,67826582,68126003,68592,69055471,70601965,70602026,70602245,77358792,86278360,86734258,87227512,87813191,88785621}",CC1=NC=C(N1CCO)[N+](=O)[O-],171.15396
aminocaproic acid,0,"{10942830,12205345,18751507,20068488,23663648,23701063,2830194,446118,50944395,517030,5460263,564,56843451,59058338,71342357,71776219,86094447,86111288,87084327,87241612,87696502,87881534,87881859,88064088,88417857,88663855,89763669}",C(CCC(=O)O)CCN,131.17292
doxazosin,0,"{11591230,21883194,23282944,24848192,25137856,3157,44200241,44200242,45039113,5175854,62978,69794763,71655922,72963355,74949443,75635020,87072776,88316289}",COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,451.4751
amprenavir,0,"{44596196,65016,67047893,87497037}",CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,505.6269
panobinostat,1,"{11751012,23725208,23725209,23725408,23725423,23725470,23725471,23725911,23725912,23725913,23725970,23725972,23725973,23726026,23726027,23726030,24775955,6918837,76966914,76972289,9955757}",CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,349.42622
sodium phytate,0,"{11665277,118202,156157,16219874,16219914,16752675,18365880,19234,20055532,20112236,20370781,21099914,21280170,21584050,21618076,21967009,22820514,22820515,22838972,23609,23619186,23675791,23719672,23724990,24495,4200706,44630435,45055409,50987197,54611529,56845531,66391,71308444,71751662,75596083,76963969,87070684,87164520,87323811,87386318,87585109,87602617,88466178,88618130,88815570,890,89653152,90472993,91667962,9875144,9876039,9896493,9942030,9961667}",C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O,660.035292
delavirdine,0,"{441386,49828920,5625,87495676,87985447}",CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,456.56112
diphenylamine,0,"{11208036,11486,11487,12169291,12222767,12563120,13283788,15974128,18674623,18691657,19351773,19770679,20080346,20258144,20263579,20511453,20571412,21328534,21417916,21475623,21512380,21544351,22316323,22328436,23617105,24940024,3015521,44151216,53445856,66628802,67074378,67099644,68311,69238340,69933216,70581758,70614369,71348597,71673358,73455960,73557494,74764727,85635742,85773677,85850069,85905783,86060423,86086503,88385142,90896118}",C1=CC=C(C=C1)NC2=CC=CC=C2.OS(=O)(=O)O,267.30092
ibutilide,0,"{10255436,107872,24820163,5281065,60163737,60163738,60163739,60163740,60752,60753,6437366,73707513,74324886,74332099}",CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O.CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O.C(=CC(=O)O)C(=O)O,885.22504
rizatriptan,0,"{19610426,19977112,25134616,25134620,25134673,25134674,25134675,25134681,25271901,3038519,5078,57414063,67698369,67698373,68379260,74391716,9864019}",CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,269.34486
ertugliflozin pyroglutamic acid,1,{57339449},CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C34C(C(C(C(O3)(CO4)CO)O)O)O)Cl.C1CC(=O)NC1C(=O)O,566.0
calcium carbimide,0,"{15361820,15971325,56955933}",C(=[N-])=[N-].[Ca+2],80.1021
retapamulin,0,"{11663568,72700343}",CC1CCC23CCC(=O)C2C1(C(CC(C(C3C)O)(C)C=C)OC(=O)CSC4CC5CCC(C4)N5C)C,517.76348
ceftaroline fosamil,0,"{16007393,56841980,56841981,57514685,73415792,73602826,76962973,87277512,9852981,9852982,9962077}",CCON=C(C1=NSC(=N1)NP(=O)(O)O)C(=O)NC2C3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)[O-],684.684702
somatostatin,0,{16129706},CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O,1637.9
daunorubicin,1,"{11342025,23619661,24847883,30323,44408454,62770,657197,67717451,67939052,68490723,68726179,7067174,73947534,87068888,87815462,9961878}",CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O,527.51986
fingolimod,1,"{107969,107970,11824109,25261970,46203920,46207222,46207223,46207226,46207227,53477601,57516011,71498341,71498342,71498755,71498758,71498759,71498760,77995166}",CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N.Cl,343.93176
cladribine,1,"{20279,21120181,87278957}",C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O,285.68698
oxymetholone,1,{5281034},CC12CCC3C(C1CCC2(C)O)CCC4C3(CC(=CO)C(=O)C4)C,332.47698
imidafenacin,0,"{6433090,66846935,66847029,74221652,74221653,74221742}",CC1=NC=CN1CCC(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N,319.40024
tizanidine,0,"{114869,16413927,184639,23725138,24748727,24848343,25055105,25055106,25055107,25055108,25055109,46243780,51371300,5487,67419938,69792465,74422222,86658840}",C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,253.71132
ephedrine,0,"{11790256,16218615,21115021,22213726,23616744,44150514,5359318,60208008,65326,67242163,67711320,67899100,69165225,6922965,71288,9294}",CC(C(C1=CC=CC=C1)O)NC,165.2322
fibrin,0,{439199},CNC(=O)CNC(=O)CN,145.16
zaltoprofen,0,"{44159207,5720,58433834}",CC(C1=CC2=C(C=C1)SC3=CC=CC=C3C(=O)C2)C(=O)O,298.35626
azacitidine,1,"{11702858,46180886,46180887,46180888,46180889,46180890,46180891,46180970,46181045,46181046,46181047,46181048,46181050,46181121,46181125,46181126,46181298,66886360,67397647,9444}",C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,244.20468
moexipril,0,"{24848376,40466988,46863994,46945170,46945171,46945172,54889,71297155,88001343,89396700,91270,9958468}",CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC(=C(C=C3CC2C(=O)O)OC)OC.Cl,535.029
lithium salts,1,{135564848},[Li+].CC1=CC(=C(C=C1N=NC2=CC3=C(C=C(C=C3C=C2)S(=O)(=O)[O-])S(=O)(=O)[O-])OC)N=NC4=C(C=C5C=C(C=CC5=C4O)N)S(=O)(=O)[O-].C(CO)N(CCO)CCO.[Na+].[K+],916.9
mustine,1,"{10583918,17898261,23615806,251950,4033,44819818,44819819,44820009,44820359,49952039,53350389,5357204,5935,6508498,7017958,71676372,87369992,87405180,88852144}",CN(CCCl)CCCl,156.05354
bendamustine,0,"{46863991,51371190,65628,66600935,67980631,68294090,77082,90007035}",CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,358.26284
metyrapone,0,"{120837,20055496,20057112,20057113,22287973,23724959,3084377,4174,69458874}",CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,226.27376
blonanserin,0,"{125564,24837217,25273579,72190625,74329278}",CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(C=C4)F,367.502803
sugammadex,0,{6918585},C(CSCC1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)O)O)C(=O)O,2002.2
lipegfilgrastim,0,{70683024},CC(C(C(=O)O)N)OC1C(C(C(C(O1)COC2(CC(C(C(O2)C(C(CO)O)O)NC(=O)CNC(=O)OCCOC)O)C(=O)O)O)O)NC(=O)C,730.66954
etizolam,0,{3307},CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C,342.8458
gemfibrozil,0,"{19030122,3463,36688117,66691883,66691884,67198461,70390520}",CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,250.33338
mebeverine,0,"{17683,23615805,4031,45114099,57458818,657305,74685734,76546083}",CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC,429.5491
gemigliptin,0,"{11953153,57325389,60199080,87428243}",C1CC(CN(C1=O)CC(CC(=O)N2CCC3=C(C2)N=C(N=C3C(F)(F)F)C(F)(F)F)N)(F)F,489.362986
propiverine,0,"{24848401,41125,441412,46856316,4942,66885236,68524389,69913936,73012090}",CCCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OC3CCN(CC3)C,367.48126
azelaic acid,0,"{14323452,15107601,159815,162680,18950109,19347555,19827267,22336418,2266,23615575,23689125,23705101,3015068,3801344,44476537,57483130,57485051,6454506,71373594,86588613,87110957,87141813,87147259,87166974,87257526,87292898,87320016,87380647,87450378,87591380,87628630,88244588,88329120,88329122,88614637,88778418,9794275}",C(CCCC(=O)O)CCCC(=O)O,188.22094
oxybutynin,0,"{10118205,10136744,10180370,18703981,21935077,43835207,44240643,44240691,4634,56961612,56961664,657224,67076491,69112346,69462926,70128635,71465265,71465306,74652202,76449895,91397527,91505,9802234}",CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,357.48644
plerixafor,1,"{10256729,11147142,16078940,16727404,18374563,23512930,44351762,51617120,53400904,65014,65015,71609425,9985721}",C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl,794.46948
quinagolide,0,"{55645,77228568,77662817,78302660}",CCCN1CC(CC2C1CC3=C(C2)C(=CC=C3)O)NS(=O)(=O)N(CC)CC,395.55932
protirelin,0,{638678},C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N,362.38
lanthanum,0,"{10181524,104897,16211478,16211668,16212794,19009589,20098173,20982162,21499988,21871496,22026950,22184273,22287627,22400962,23926,24839889,25199703,2733938,3272371,45051674,57461239,59071736,59071737,59071738,59071739,60161308,72507197,72507198,72507199,72507200}",[La],138.90547
